              t             x1             y1             x2             y2
           4.42      -0.853651      -0.520846        -1.7995      -0.845458
           4.43      -0.875123        -0.4839       -1.82293      -0.802742
           4.44      -0.894848      -0.446371       -1.84429      -0.760308
           4.45      -0.912774      -0.408464        -1.8636      -0.718179
           4.46      -0.928874      -0.370395       -1.88091      -0.676377
           4.47      -0.943147      -0.332377       -1.89628      -0.634933
           4.48      -0.955616      -0.294615       -1.90979      -0.593879
           4.49       -0.96633      -0.257304       -1.92153      -0.553254
            4.5       -0.97536      -0.220619       -1.93163      -0.513099
           4.51      -0.982792      -0.184714        -1.9402      -0.473457
           4.52      -0.988728       -0.14972       -1.94736      -0.434372
           4.53      -0.993279      -0.115744       -1.95324      -0.395886
           4.54       -0.99656     -0.0828699       -1.95796      -0.358043
           4.55       -0.99869     -0.0511623       -1.96163      -0.320882
           4.56      -0.999786     -0.0206658       -1.96437      -0.284441
           4.57      -0.999963     0.00859052       -1.96628      -0.248754
           4.58       -0.99933      0.0365912       -1.96746      -0.213853
           4.59      -0.997993      0.0633319       -1.96799      -0.179765
            4.6      -0.996048      0.0888172       -1.96796      -0.146517
           4.61      -0.993588       0.113059       -1.96744      -0.114131
           4.62      -0.990698       0.136075       -1.96649     -0.0826261
           4.63      -0.987457       0.157888       -1.96518     -0.0520209
           4.64      -0.983936       0.178521       -1.96356     -0.0223306
           4.65      -0.980202       0.198002       -1.96168     0.00643156
           4.66      -0.976314        0.21636       -1.95959      0.0342539
           4.67      -0.972327       0.233624       -1.95734      0.0611263
           4.68      -0.968291       0.249825       -1.95495      0.0870404
           4.69      -0.964251       0.264992       -1.95248       0.111989
            4.7      -0.960246       0.279154       -1.94994       0.135965
           4.71      -0.956314       0.292341       -1.94738       0.158964
           4.72      -0.952487       0.304579       -1.94482       0.180983
           4.73      -0.948794       0.315897       -1.94229       0.202016
           4.74       -0.94526       0.326319       -1.93981       0.222063
           4.75      -0.941909       0.335869       -1.93741        0.24112
           4.76       -0.93876       0.344571       -1.93511       0.259187
           4.77      -0.935833       0.352444       -1.93293       0.276263
           4.78      -0.933141        0.35951       -1.93088       0.292347
           4.79        -0.9307       0.365784         -1.929        0.30744
            4.8      -0.928519       0.371284       -1.92728       0.321542
           4.81       -0.92661       0.376024       -1.92575       0.334653
           4.82       -0.92498       0.380016       -1.92443       0.346775
           4.83      -0.923636       0.383271       -1.92331       0.357909
           4.84      -0.922584       0.385797       -1.92243       0.368057
           4.85      -0.921826       0.387603       -1.92177       0.377219
           4.86      -0.921368       0.388692       -1.92136       0.385398
           4.87      -0.921208       0.389069        -1.9212       0.392594
           4.88      -0.921349       0.388735        -1.9213       0.398811
           4.89       -0.92179        0.38769       -1.92166        0.40405
            4.9      -0.922528        0.38593       -1.92228       0.408311
           4.91       -0.92356       0.383453       -1.92316       0.411598
           4.92      -0.924883       0.380253       -1.92432       0.413911
           4.93       -0.92649        0.37632       -1.92573       0.415252
           4.94      -0.928374       0.371647       -1.92741       0.415622
           4.95      -0.930528       0.366221       -1.92934       0.415022
           4.96      -0.932941        0.36003       -1.93151       0.413453
           4.97      -0.935601       0.353059       -1.93393       0.410916
           4.98      -0.938496        0.34529       -1.93656       0.407411
           4.99      -0.941609       0.336707       -1.93941       0.402939
              5      -0.944924        0.32729       -1.94246       0.397497
           5.01      -0.948419       0.317019       -1.94567       0.391088
           5.02      -0.952073       0.305872       -1.94904       0.383708
           5.03      -0.955859       0.293827       -1.95253       0.375357
           5.04      -0.959749       0.280861       -1.95611       0.366032
           5.05       -0.96371       0.266952       -1.95976       0.355732
           5.06      -0.967707       0.252078       -1.96343       0.344453
           5.07        -0.9717       0.236219       -1.96708       0.332192
